iri,act,paragrahv,subsection,legalText,in_force,temporalStatus,valid_from,valid_to
estleg:ABIPOL_Par_1,estleg:ABIPOL_Map_2026,§ 1.,,"(1) Käesolev seadus sätestab abipolitseiniku õigused, kohustused ja tegevusala eesmärgiga kaasata isikuid politsei tegevusse avaliku korra kaitseks ja turvalise ühiskonna tagamiseks. (2) Käesolevas seaduses ettenähtud haldusmenetlusele kohaldatakse haldusmenetluse seaduse sätteid, arvestades käesoleva seaduse erisusi. (3) Riikliku järelevalve meetme rakendamisel muu seaduse alusel lähtub abipolitseinik muus seaduses sätestatust, arvestades käesoleva seaduse erisusi.",true,,,
estleg:ABIPOL_Par_10,estleg:ABIPOL_Map_2026,§ 10.,,(1) Käesoleva seaduse § 3 lõikes 2 nimetatud ülesande iseseisvalt täitmise pädevuse andmise käesoleva seaduse § 8 lõikes 2 sätestatud väljaõppe läbinud ja arvestuse sooritanud abipolitseinikule otsustab Politsei- ja Piirivalveameti peadirektor või tema volitatud ametnik käskkirjaga. (2) Abipolitseinikule ülesande iseseisvalt täitmise pädevuse andmisel määratakse kindlaks abipolitseiniku ülesande iseseisvalt täitmise piirkond.,true,,,
estleg:ABIPOL_Par_10_Lg_1,estleg:ABIPOL_Map_2026,§ 10.,1,(1) Käesoleva seaduse § 3 lõikes 2 nimetatud ülesande iseseisvalt täitmise pädevuse andmise käesoleva seaduse § 8 lõikes 2 sätestatud väljaõppe läbinud ja arvestuse sooritanud abipolitseinikule otsustab Politsei- ja Piirivalveameti peadirektor või tema volitatud ametnik käskkirjaga.,true,,,
estleg:ABIPOL_Par_10_Lg_2,estleg:ABIPOL_Map_2026,§ 10.,2,(2) Abipolitseinikule ülesande iseseisvalt täitmise pädevuse andmisel määratakse kindlaks abipolitseiniku ülesande iseseisvalt täitmise piirkond.,true,,,
estleg:ABIPOL_Par_11,estleg:ABIPOL_Map_2026,§ 11.,,(1) Valdkonna eest vastutav minister võib Politsei- ja Piirivalveameti peadirektori ettepanekul sõlmida mittetulundusühinguga tsiviilõigusliku lepingu (edaspidi korrakaitseleping) politsei tegevuses osaleva ülesande iseseisva täitmise pädevusega abipolitseiniku tegevuse korraldamiseks. (2) Mittetulundusühinguga sõlmitud korrakaitseleping koos lisadega avaldatakse Politsei- ja Piirivalveameti veebilehel.,true,,,
estleg:ABIPOL_Par_11_Lg_1,estleg:ABIPOL_Map_2026,§ 11.,1,(1) Valdkonna eest vastutav minister võib Politsei- ja Piirivalveameti peadirektori ettepanekul sõlmida mittetulundusühinguga tsiviilõigusliku lepingu (edaspidi korrakaitseleping) politsei tegevuses osaleva ülesande iseseisva täitmise pädevusega abipolitseiniku tegevuse korraldamiseks.,true,,,
estleg:ABIPOL_Par_11_Lg_2,estleg:ABIPOL_Map_2026,§ 11.,2,(2) Mittetulundusühinguga sõlmitud korrakaitseleping koos lisadega avaldatakse Politsei- ja Piirivalveameti veebilehel.,true,,,
estleg:ABIPOL_Par_12,estleg:ABIPOL_Map_2026,§ 12.,,"(1) Abipolitseinikule antakse luba abipolitseiniku ülesande täitmise ajal elektrišokirelva või käesoleva seaduse § 32 lõike 3 punktis 3 nimetatud tulirelva kandmiseks Politsei- ja Piirivalveameti peadirektori või tema volitatud ametniku otsusega juhul, kui: abipolitseinikul ei ole füüsilist puuet, mis välistab vastavat liiki relva kandmise õiguse; abipolitseinik on läbinud edukalt vastavat liiki relvale käesolevas seaduses sätestatud õppe. (2) Abipolitseinikul peatatakse abipolitseiniku ülesande täitmise ajal elektrišokirelva või tulirelva kandmise õigus Politsei- ja Piirivalveameti peadirektori või tema volitatud ametniku otsusega juhul, kui: abipolitseinikul tuvastatakse tervisekontrolli käigus ajutise iseloomuga füüsiline puue, mis välistab vastavat liiki relva kandmise õiguse; abipolitseinik ei soorita edukalt käesoleva seaduse § 8 lõikes 6 nimetatud laskmisarvestust või abipolitseiniku poolt on elektrišokirelva või tulirelva kasutamisega põhjustatud isiku surm või tekitatud isikule tervisekahjustus või varaline kahju või on rikutud tulirelva käitlemise nõudeid. (3) Abipolitseinikul peatatakse abipolitseiniku ülesande täitmise ajal elektrišokirelva või tulirelva kandmise õigus kuni peatamise aluseks olnud asjaolu äralangemiseni või kuni vastavat liiki relva õiguspärase kasutamise või käitlemise tuvastamiseni. (4) Abipolitseiniku õigus kanda abipolitseiniku ülesande täitmise ajal elektrišokirelva või tulirelva tunnistatakse kehtetuks Politsei- ja Piirivalveameti peadirektori või tema volitatud ametniku otsusega juhul, kui: abipolitseinikul tuvastatakse tervisekontrolli käigus füüsiline puue, mis välistab vastavat liiki relva kandmise õiguse, või on tuvastatud abipolitseiniku põhjendamatu elektrišokirelva või tulirelva kasutamine või käitlemise nõuete oluline rikkumine.",true,,,
estleg:ABIPOL_Par_12_Lg_1,estleg:ABIPOL_Map_2026,§ 12.,1,"(1) Abipolitseinikule antakse luba abipolitseiniku ülesande täitmise ajal elektrišokirelva või käesoleva seaduse § 32 lõike 3 punktis 3 nimetatud tulirelva kandmiseks Politsei- ja Piirivalveameti peadirektori või tema volitatud ametniku otsusega juhul, kui: abipolitseinikul ei ole füüsilist puuet, mis välistab vastavat liiki relva kandmise õiguse; abipolitseinik on läbinud edukalt vastavat liiki relvale käesolevas seaduses sätestatud õppe.",true,,,
estleg:ABIPOL_Par_12_Lg_2,estleg:ABIPOL_Map_2026,§ 12.,2,"(2) Abipolitseinikul peatatakse abipolitseiniku ülesande täitmise ajal elektrišokirelva või tulirelva kandmise õigus Politsei- ja Piirivalveameti peadirektori või tema volitatud ametniku otsusega juhul, kui: abipolitseinikul tuvastatakse tervisekontrolli käigus ajutise iseloomuga füüsiline puue, mis välistab vastavat liiki relva kandmise õiguse; abipolitseinik ei soorita edukalt käesoleva seaduse § 8 lõikes 6 nimetatud laskmisarvestust või abipolitseiniku poolt on elektrišokirelva või tulirelva kasutamisega põhjustatud isiku surm või tekitatud isikule tervisekahjustus või varaline kahju või on rikutud tulirelva käitlemise nõudeid.",true,,,
